,Mean Training Accuracy,Mean Training Precision,Mean Training Recall,Mean Training F1 Score,Mean Validation Accuracy,Mean Validation Precision,Mean Validation Recall,Mean Validation F1 Score,Dimensionality Reduction
Nearest Neighbors,0.9652147610405324,1.0,0.9518002322880372,0.9747275308250918,0.6,0.7226551226551227,0.72,0.705546218487395,PCA
Linear SVM,1.0,1.0,1.0,1.0,0.6933333333333332,0.7202930402930404,0.9418181818181818,0.8156075808249721,PCA
RBF SVM,1.0,1.0,1.0,1.0,0.7219047619047619,0.7219047619047619,1.0,0.8384615384615384,PCA
Poly SVM,1.0,1.0,1.0,1.0,0.7076190476190476,0.7175091575091574,0.9800000000000001,0.8283166109253065,PCA
Gaussian Process,1.0,1.0,1.0,1.0,0.680952380952381,0.7093040293040292,0.9436363636363637,0.8090858416945373,PCA
Decision Tree,0.9965517241379309,0.9953488372093023,1.0,0.9976470588235294,0.5266666666666666,0.6572927072927073,0.6909090909090908,0.6677671859257537,PCA
Random Forest,0.9549304295220811,0.9419369349107104,1.0,0.9699379098386155,0.6523809523809524,0.7122077922077923,0.8636363636363636,0.7780952380952381,PCA
Neural Net,1.0,1.0,1.0,1.0,0.7076190476190476,0.7246886446886448,0.9618181818181819,0.825752508361204,PCA
AdaBoost,1.0,1.0,1.0,1.0,0.6114285714285714,0.7066666666666667,0.790909090909091,0.7444005270092225,PCA
Naive Bayes,0.8473079249848761,0.989039039039039,0.7982578397212544,0.8821057952509314,0.5552380952380952,0.8114285714285714,0.5363636363636364,0.6322681704260651,PCA
QDA,1.0,1.0,1.0,1.0,0.5695238095238095,0.9349999999999999,0.4418181818181818,0.5873684210526315,PCA
Nearest Neighbors,0.9756200846944948,1.0,0.9662020905923345,0.982455902408885,0.680952380952381,0.7511688311688312,0.850909090909091,0.7904761904761906,KernelPCA
Linear SVM,1.0,1.0,1.0,1.0,0.7076190476190476,0.7246886446886448,0.9618181818181817,0.825752508361204,KernelPCA
RBF SVM,1.0,1.0,1.0,1.0,0.7219047619047619,0.7219047619047619,1.0,0.8384615384615384,KernelPCA
Poly SVM,1.0,1.0,1.0,1.0,0.7219047619047619,0.7219047619047619,1.0,0.8384615384615384,KernelPCA
Gaussian Process,1.0,1.0,1.0,1.0,0.6952380952380952,0.7136996336996337,0.9636363636363636,0.8192307692307692,KernelPCA
Decision Tree,0.9965517241379309,1.0,0.9952380952380953,0.9975903614457831,0.4980952380952381,0.6495726495726496,0.649090909090909,0.647025171624714,KernelPCA
Random Forest,0.9686025408348456,0.958985200845666,1.0,0.9788782489740082,0.6542857142857142,0.7069597069597069,0.8872727272727273,0.786034255599473,KernelPCA
Neural Net,1.0,1.0,1.0,1.0,0.7219047619047619,0.7290842490842492,0.9818181818181818,0.8358974358974358,KernelPCA
AdaBoost,1.0,1.0,1.0,1.0,0.5961904761904762,0.706060606060606,0.749090909090909,0.7252617710283614,KernelPCA
Naive Bayes,0.8578342407743497,0.989039039039039,0.8128919860627178,0.8909738558132961,0.5828571428571429,0.8317460317460317,0.5563636363636364,0.6551113076809673,KernelPCA
